ShortName,LongName,Issn
Journal Of Mathematical Study,Global Science Press Ltd ,1006-6837
Journal of Mathematics,Hindawi Publishing Corporation,2314-4629(Paper)2314-4785(Online)
Journal of Mathematics and Music,Taylor & Francis,1745-9737(Paper)1745-9745(Online)
Journal of Mathematics and Statistics,Science Publications,1549-3644(Paper)1558-6359(Online)
Journal of Mathematics and the Arts,Taylor & Francis,1751-3472(Paper)1751-3480(Online)
Journal of Mathematics Education at Teachers College,Teachers College Record,(Paper)2156-1400(Online)
Journal of Mathematics in Industry,Springer Science+Business Media B.V.,(Paper)2190-5983(Online)
Journal of Mathematics Research,Canadian Center of Science and Education,1916-9795(Paper)1916-9809(Online)
Journal of Mathematics Teacher Education,Springer Science+Business Media B.V.,1386-4416
Journal of Maxillofacial and Oral Surgery,Springer Science+Business Media B.V.,0972-8279(Paper)0974-942X(Online)
Journal of Mechanical Design,American Society of Mechanical Engineers (ASME),1050-0472(Paper)1528-9001(Online)
Journal of Mechanical Science & Technology,Springer Science+Business Media B.V.,1738-494X(Paper)1976-3824(Online)
Journal of Mechanical Working Technology,Elsevier Science,0378-3804
Journal of Mechanics,Cambridge University Press (CUP),1727-7191(Paper)1811-8216(Online)
Journal of Mechanics in Medicine and Biology,World Scientific Publishing Co. Pte. Ltd.,0219-5194
Journal of Mechanics of Materials and Structures,Mathematical Sciences Publishers,1559-3959
Journal of Mechanisms,Elsevier Science,0022-2569
Journal of Mechanisms and Robotics,American Society of Mechanical Engineers (ASME),1942-4302(Paper)1942-4310(Online)
Journal of Mechatronics,American Scientific Publishers,2326-2885(Paper)2326-2893(Online)
Journal of Media and Religion,Routledge,1534-8423
Journal of Media Business Studies,Taylor & Francis,1652-2354(Paper)2376-2977(Online)
Journal of Media Economics,Routledge,0899-7764(Paper)1532-7736(Online)
Journal of Media Ethics: Exploring Questions of Media Morality,Taylor & Francis,2373-6992(Paper)2373-700X(Online)
Journal of Media Law,Taylor & Francis,1757-7632(Paper)1757-7640(Online)
Journal of Media Practice,Taylor & Francis,1468-2753(Paper)2040-0926(Online)
"Journal of Media Psychology: Theories, Methods, and Applications",Hogrefe Verlag GmbH & Co. KG,1864-1105
Journal of Medical and Biological Engineering,Taiwanese Soc Biomed Engineer,1609-0985
Journal of Medical and Biological Engineering,Springer Science+Business Media B.V.,1609-0985(Paper)2199-4757(Online)
Journal of Medical and Veterinary Mycology,Oxford University Press,0268-1218(Paper)1365-280X(Online)
Journal of Medical Biochemistry,Versita,1452-8258(Paper)1452-8266(Online)
Journal of Medical Biography,SAGE Publications,0967-7720
Journal of Medical Case Reports,BioMed Central,1752-1947
Journal of Medical Cases,Elmer Press,1923-4155(Paper)1923-4163(Online)
Journal of Medical Colleges of PLA,Elsevier Science,1000-1948
Journal of Medical Device Regulation,Global Regulatory Press,
Journal of Medical Devices,American Society of Mechanical Engineers (ASME),1932-6181(Paper)1932-619X(Online)
Journal of Medical Economics,Taylor & Francis,1369-6998(Paper)1941-837X(Online)
Journal of Medical Engineering,Hindawi Publishing Corporation,2314-5129(Paper)2314-5137(Online)
Journal of Medical Engineering & Technology,Taylor & Francis,0309-1902(Paper)1464-522X(Online)
Journal of Medical Entomology,Entomological Society of America,0022-2585(Paper)1938-2928(Online)
Journal of Medical Ethics,BMJ Publishing Group,0306-6800(Paper)1473-4257(Online)
Journal of Medical Genetics (JMG),BMJ Publishing Group,0022-2593(Paper)1468-6244(Online)
Journal of Medical Humanities,Springer Science+Business Media B.V.,1041-3545(Paper)1573-3645(Online)
Journal of Medical Hypotheses & Ideas,Elsevier Science,0306-9877(Paper)2251-7294(Online)
Journal of Medical Imaging,SPIE/International Society of Optical Engineering,2329-4302(Paper)2329-4310(Online)
Journal of Medical Imaging and Health Informatics,American Scientific Publishers,2156-7018(Paper)2156-7026(Online)
Journal of Medical Imaging and Radiation Oncology,Wiley-Blackwell,1754-9477(Paper)1754-9485(Online)
Journal of Medical Imaging and Radiation Sciences,Elsevier Science,1939-8654
Journal of Medical Internet Research (JMIR),Gunther Eysenbach ,1439-4456(Paper)1438-8871(Online)
The Journal of Medical Investigation,University of Tokushima Faculty of Medcine,1343-1420(Paper)1349-6867(Online)
Journal of Medical Laboratory and Diagnosis,Academic Journals,(Paper)2141-2618(Online)
Journal of Medical Law and Ethics,Misi Uitgeverij Paris,2213-5405
Journal of Medical Marketing,SAGE Publications,1745-7904(Paper)1745-7912(Online)
Journal of Medical Microbiology,Microbiology Society,0022-2615(Paper)1473-5644(Online)
Journal of Medical Physics,Medknow Publications,0971-6203(Paper)0971-6203(Online)
Journal of Medical Primatology,Wiley-Blackwell,0047-2565(Paper)1600-0684(Online)
Journal of Medical Radiation Sciences,Wiley-Blackwell,2051-3895(Paper)2051-3909(Online)
Journal of Medical Robotics Research,World Scientific Publishing Co. Pte. Ltd.,2424-905X(Paper)2424-9068(Online)
Journal of Medical Sciences,Asian Network for Scientific Information,1682-4474(Paper)1812-5727(Online)
Journal of Medical Screening,SAGE Publications,0969-1413(Paper)1475-5793(Online)
Journal of Medical Systems,Springer Science+Business Media B.V.,0148-5598(Paper)1573-689X(Online)
Journal of Medical Toxicology,Springer Science+Business Media B.V.,1556-9039(Paper)1937-6995(Online)
Journal of Medical Ultrasonics,Springer Science+Business Media B.V.,1346-4523(Paper)1613-2254(Online)
Journal of Medical Ultrasound,Elsevier Science,0929-6441
Journal of Medical Virology,"Wiley-Liss, Inc.",0146-6615(Paper)1096-9071(Online)
Journal of Medicinal Chemistry,American Chemical Society,0022-2623(Paper)1520-4804(Online)
Journal of Medicinal Food,Mary Ann Liebert,1096-620X
The Journal of Medicine & Philosophy,Oxford University Press,0360-5310(Paper)1744-5019(Online)
Journal of Medicine and the Person,Springer Science+Business Media B.V.,2035-9411(Paper)2036-3877(Online)
Journal of Medieval and Early Modern Studies (Project Muse),Duke University Press,1082-9636(Paper)1527-8263(Online)
Journal of Medieval and Early Modern Studies (Highwire),Duke University Press,1082-9636(Paper)1527-8263(Online)
Journal of Medieval History,Elsevier Science,0304-4181
Journal of Medieval History,Taylor & Francis,0304-4181(Paper)1873-1279(Online)
Journal of Medieval Iberian Studies,Routledge,1754-6559(Paper)1754-6567(Online)
Journal of Medieval Latin,Brepols Publishers,0778-9750
Journal of Medieval Monastic Studies,Brepols Publishers,2034-3515(Paper)2034-3523(Online)
Journal of Medieval Religious Cultures,Pennsylvania State University Press,1947-6566(Paper)2153-9650(Online)
The Journal of Medieval Religious Cultures (Project Muse),Pennsylvania State University Press,1947-6566(Paper)2153-9650(Online)
Journal of Mediterranean Archaeology,Equinox Publishing Ltd.,0952-7648(Paper)1743-1700(Online)
Journal of Membrane Biology,Springer Science+Business Media B.V.,0022-2631(Paper)1432-1424(Online)
Journal of Membrane Science,Elsevier Science,0376-7388
Journal of Memetics : Evolutionary Models of Information Transmission,"Manchester Metropolitan University, Business School, Centre for Policy Modelling",(Paper)1366-4786(Online)
Journal of Memory and Language,Elsevier Science,0749-596X(Paper)1096-0821(Online)
Journal of Men's Health,Elsevier Science,1875-6867
The Journal of Men's Health & Gender,Elsevier Science,1571-8913
Journal of Men's Studies,SAGE Publications,1060-8265(Paper)1933-0251(Online)
Journal of Men's Health,Andrew John Publishing,1875-6867(Paper)1875-6859(Online)
Journal of Mental Health,Taylor & Francis,0963-8237(Paper)1360-0567(Online)
Journal of Mental Health Counseling,American Mental Health Counselors Association,1040-2861
The Journal of Mental Health Policy and Economics,"John Wiley & Sons, Inc",1091-4358(Paper)1099-176X(Online)
The Journal of Mental Health Policy and Economics,International Center of Mental Health Policy and Economics,1091-4358(Paper)1099-176X(Online)
Journal of Mental Health Research in Intellectual Disabilities,Routledge,1931-5864(Paper)1931-5872(Online)
"The Journal of Mental Health, Training & Practice",Emerald Group Publishing Ltd,1755-6228
Journal of Metallurgy,Hindawi Publishing Corporation,1687-9465(Paper)1687-9473(Online)
Journal of Metamorphic Geology,Wiley-Blackwell,0263-4929(Paper)1525-1314(Online)
Journal of Metastable and Nanocrystalline Materials,"Trans Tech Publications, Ltd.",1422-6375
Journal of Meteorological Research,Springer Science+Business Media B.V.,2095-6037(Paper)2198-0934(Online)
Journal of Micro - Nano Mechatronics,Springer Science+Business Media B.V.,1865-3928(Paper)1865-3936(Online)
Journal of Micro and Nano-Manufacturing,American Society of Mechanical Engineers (ASME),2166-0468(Paper)2166-0476(Online)
Journal of Micro Nanolithography MEMS and MOEMS,SPIE/International Society of Optical Engineering,1932-5150(Paper)1932-5134(Online)
Journal of Micro-Bio Robotics,Springer Science+Business Media B.V.,2194-6418(Paper)2194-6426(Online)
Systems Research (now called Systems Research and Behavioral Science),"John Wiley & Sons, Ltd",0731-7239(Paper)1099-1735(Online)
Systems Research and Behavioral Science (formerly Systems Research),"John Wiley & Sons, Ltd",1092-7026(Paper)1099-1743(Online)
Systems Research Forum,World Scientific Publishing Co. Pte. Ltd.,1793-9666(Paper)1793-9674(Online)
Systems Science & Control Engineering,Taylor & Francis,(Paper)2164-2583(Online)
Systems Signs & Actions,Systems Signs & Actions,(Paper)1652-8719(Online)
Sytyke,Sytyke Ry,2323-8275(Paper)2323-8283(Online)
T Kan Anders,Verenigingskantoor Pais,0925-5893
A+T: revista trimestral de Arquitectura y Tecnología,A + T EDICIONES,1132-6409
T'ang Studies,Taylor & Francis,0737-5034(Paper)1759-7633(Online)
T'oung Pao,Brill Academic Publishers,0082-5433(Paper)1568-5322(Online)
T.R. Daily,"Telecom Reports International, Inc.",
Tabaccologia,Societa Italiana di Tabaccologia,
The Tablet,Tablet Publishing Co,0039-8837
Tablets & Capsules,CSC Publishing Company Inc,
Tae Kwon Do Times,Tri Mount Publications Inc,0741-028x
