ShortName,LongName,Issn
YELLOWSTONE SCIENCE,"YELLOWSTONE ASSOC NATURAL SCI, PO BOX 117, YELLOWSTONE NATIONAL PARK, USA, WY, 82190",****-****
YERBILIMLERI,"HACETTEPE UNIV, HACETTEPE UNIV, ANKARA, TURKEY, 6532",1301-2894
YICHUAN,"INST GENETICS DEVELOPMENTAL BIOLOGY, CHINESE ACAD SCIENCE, 917 BUILDING DATUN RD, ANDINGMENWAI, BEIJING, PEOPLES R CHINA, 00000",0253-9772
YOKOHAMA MEDICAL BULLETIN,"YOKOHAMA CITY UNIV, SCH MEDICINE, FUKUURA 3-9, YOKOHAMA, JAPAN, 00000",0044-0531
YONAGO ACTA MEDICA,"TOTTORI UNIV, FACULTY MEDICINE, 86 NISHI-CHO, YONAGO, JAPAN, TOTTORI-KEN, 683-8503",0513-5710
YONSEI MEDICAL JOURNAL,"YONSEI UNIV COLL MEDICINE, 50-1 YONSEI-RO, SEODAEMUN-GU, SEOUL, SOUTH KOREA, 120-752",0513-5796
YORKSHIRE ARCHAEOLOGICAL JOURNAL,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",0084-4276
YORKSHIRE BIRDING,"YORKSHIRE BIRDING, 14 HOOBER VIEW, BARNSLEY, ENGLAND, S73 0SH",1466-6375
YOUNG,"SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",1103-3088
YOUNG CONSUMERS,"EMERALD GROUP PUBLISHING LTD, HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",1464-6676
YOUTH & SOCIETY,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",0044-118X
YOUTH JUSTICE-AN INTERNATIONAL JOURNAL,"SAGE PUBLICATIONS LTD, 1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",1473-2254
YOUTH VIOLENCE AND JUVENILE JUSTICE,"SAGE PUBLICATIONS INC, 2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",1541-2040
YUGATO,"YUGATO SOC, NIIGATA 2-27-29, SHINDORI-NISHI, NIIGATA, JAPAN, 950-2036",0387-5695
YUKSEKOGRETIM DERGISI,"DEOMED PUBL, ISTANBUL, GUR SOK 7-B, FIKIRTEPE 34720 KADIKOY, ISTANBUL, TURKEY, 00000",2146-796X
YUNNAN GEOLOGY,"EDITORIAL OFFICE YUNNAN GEOLOGY, BAITA RD, KUNMING, PEOPLES R CHINA, YUNNAN PROVINCE, 650011",1004-1885
